49;La tumba de las luciérnagas;1988;8.5;213,077;13;1h 29min;Animation, Drama, War;8.6;8.6;8.4;8.2
50;Casablanca;1942;8.5;495,974;T;1h 42min;Drama, Romance, War;8.5;8.4;8.4;8.7
51;La ventana indiscreta;1954;8.4;418,432;T;1h 52min;Mystery, Thriller;8.8;8.5;8.4;8.5
52;Cinema Paradiso;1988;8.5;213,343;A;2h 35min;Drama;8.7;8.6;8.4;8.4
53;Alien, el octavo pasajero;1979;8.4;747,179;16;1h 57min;Horror, Sci-Fi;8.5;8.3;8.5;8.7
54;Apocalypse Now;1979;8.4;573,851;18;2h 27min;Drama, Mystery, War;8.8;8.5;8.4;8.5
55;En busca del arca perdida;1981;8.4;843,992;A;1h 55min;Action, Adventure;8.5;8.3;8.4;8.7
56;Memento;2000;8.4;1,069,448;13;1h 53min;Mystery, Thriller;8.7;8.5;8.4;8.2
57;El gran dictador;1940;8.4;190,531;T;2h 5min;Comedy, Drama, War;8.4;8.5;8.4;8.4
58;La vida de los otros;2006;8.4;338,637;7;2h 17min;Drama, Mystery, Thriller;8.2;8.4;8.4;8.4
59;Django desencadenado;2012;8.4;1,275,364;16;2h 45min;Drama, Western;8.7;8.6;8.3;8.0
60;Vengadores: Infinity War;2018;8.5;753,622;12;2h 29min;Action, Adventure, Sci-Fi;8.9;8.6;8.3;8.1
61;Senderos de gloria;1957;8.4;165,713;T;1h 28min;Drama, War;8.7;8.5;8.4;8.4
62;El resplandor;1980;8.4;838,704;16;2h 26min;Drama, Horror;8.8;8.4;8.4;8.4
63;WALL·E;2008;8.4;948,948;T;1h 38min;Animation, Adventure, Family;8.5;8.4;8.4;8.1
64;Spider-Man: Un nuevo universo;2018;8.4;301,620;7;1h 57min;Animation, Action, Adventure;8.9;8.6;8.2;8.0
65;El crepúsculo de los dioses;1950;8.4;188,595;A;1h 50min;Drama, Film-Noir;8.5;8.4;8.4;8.5
66;La princesa Mononoke;1997;8.4;313,193;7;2h 14min;Animation, Adventure, Fantasy;8.5;8.5;8.4;8.0
67;¿Teléfono rojo? Volamos hacia Moscú;1964;8.4;430,215;18;1h 35min;Comedy;8.6;8.4;8.4;8.4
68;Vengadores: Endgame;2019;8.4;680,554;7;3h 1min;Action, Adventure, Drama;8.9;8.6;8.3;8.1
69;1917;2019;8.4;231,657;12;1h 59min;Drama, War;8.8;8.5;8.3;8.2
70;Old Boy;2003;8.4;483,448;18;2h;Action, Drama, Mystery;8.7;8.5;8.4;7.9
71;Testigo de cargo;1957;8.4;99,127;T;1h 56min;Crime, Drama, Film-Noir;8.8;8.6;8.4;8.4
72;El caballero oscuro: La leyenda renace;2012;8.4;1,445,017;12;2h 44min;Action, Adventure;8.5;8.6;8.3;7.9
73;Érase una vez en América;1984;8.4;292,257;18;3h 49min;Crime, Drama;9.1;8.5;8.3;8.3
74;Aliens: El regreso;1986;8.3;624,186;13;2h 17min;Action, Adventure, Sci-Fi;8.5;8.2;8.4;8.5
75;Your Name.;2016;8.4;160,379;A;1h 46min;Animation, Drama, Fantasy;8.7;8.6;8.2;7.9
76;American Beauty;1999;8.3;1,025,311;18;2h 2min;Drama;8.8;8.5;8.3;8.1
77;Coco;2017;8.4;324,719;A;1h 45min;Animation, Adventure, Family;8.6;8.5;8.2;8.1
78;Braveheart;1995;8.3;922,103;18;2h 58min;Biography, Drama, History;8.3;8.3;8.4;8.1
79;El submarino - Das Boot;1981;8.3;219,838;13;2h 29min;Adventure, Drama, Thriller;8.6;8.3;8.3;8.4
80;3 Idiots;2009;8.4;318,008;PG-13;2h 50min;Comedy, Drama;8.5;8.7;8.2;7.1
81;Toy Story;1995;8.3;840,189;A;1h 21min;Animation, Adventure, Comedy;8.4;8.5;8.2;8.2
82;El infierno del odio;1963;8.5;26,688;13;2h 23min;Crime, Drama, Mystery;8.2;8.7;8.4;8.3
83;El retorno del Jedi;1983;8.3;905,671;T;2h 11min;Action, Adventure, Fantasy;8.3;8.3;8.4;8.2
84;Taare Zameen Par;2007;8.4;152,823;PG;2h 45min;Drama, Family;8.5;8.6;8.3;7.1
85;Amadeus;1984;8.3;351,487;A;2h 40min;Biography, Drama, History;8.7;8.4;8.3;8.3
86;Reservoir Dogs;1992;8.3;871,178;18;1h 39min;Crime, Drama, Thriller;8.6;8.4;8.3;8.2
87;Malditos bastardos;2009;8.3;1,188,864;18;2h 33min;Adventure, Drama, War;8.7;8.5;8.3;7.8
88;El indomable Will Hunting;1997;8.3;808,324;A;2h 6min;Drama, Romance;8.5;8.4;8.2;8.1
89;2001: Una odisea del espacio;1968;8.3;569,610;A;2h 29min;Adventure, Sci-Fi;9.0;8.4;8.2;8.3
90;Réquiem por un sueño;2000;8.3;728,903;18;1h 42min;Drama;8.7;8.4;8.3;7.9
91;Vértigo (De entre los muertos);1958;8.3;338,414;T;2h 8min;Mystery, Romance, Thriller;8.9;8.3;8.3;8.3
92;M, el vampiro de Düsseldorf;1931;8.3;134,543;13;1h 57min;Crime, Mystery, Thriller;8.4;8.3;8.3;8.4
93;Dangal;2016;8.4;136,974;NC;2h 41min;Action, Biography, Drama;8.6;8.6;8.3;7.4
94;¡Olvídate de mí!;2004;8.3;861,252;13;1h 48min;Drama, Romance, Sci-Fi;8.6;8.4;8.3;7.8
